round_epochs,loss,val_loss,k,lr,dropout,l1,l2,activation_function
57,0.6924288868904114,0.6938593983650208,4,1e-05,0.001,0,0,tanh
18,0.6922425031661987,0.6941020488739014,4,1e-05,0.001,0,0,relu
13,0.692076563835144,0.694269597530365,4,1e-05,0.001,0,0,sigmoid
13,0.6918056011199951,0.6944183111190796,4,1e-05,0.001,0,0.0001,tanh
11,0.6915120482444763,0.6946781873703003,4,1e-05,0.001,0,0.0001,relu
15,0.690954327583313,0.6949350833892822,4,1e-05,0.001,0,0.0001,sigmoid
12,0.6902466416358948,0.69547039270401,4,1e-05,0.001,0,0.001,tanh
11,0.6893531084060669,0.6962587237358093,4,1e-05,0.001,0,0.001,relu
11,0.6881900429725647,0.6969667673110962,4,1e-05,0.001,0,0.001,sigmoid
13,0.686253011226654,0.698602020740509,4,1e-05,0.001,0,0.01,tanh
14,0.6833974123001099,0.7009056806564331,4,1e-05,0.001,0,0.01,relu
11,0.6805111169815063,0.7030279040336609,4,1e-05,0.001,0,0.01,sigmoid
11,0.677230179309845,0.7064443230628967,4,1e-05,0.001,0.0001,0,tanh
11,0.6735755801200867,0.7094470262527466,4,1e-05,0.001,0.0001,0,relu
11,0.6697627305984497,0.7143846750259399,4,1e-05,0.001,0.0001,0,sigmoid
11,0.6660021543502808,0.7178416848182678,4,1e-05,0.001,0.0001,0.0001,tanh
11,0.6624534130096436,0.7215405106544495,4,1e-05,0.001,0.0001,0.0001,relu
11,0.659062922000885,0.7262957096099854,4,1e-05,0.001,0.0001,0.0001,sigmoid
11,0.6559094786643982,0.7307649850845337,4,1e-05,0.001,0.0001,0.001,tanh
11,0.6530249118804932,0.7338712215423584,4,1e-05,0.001,0.0001,0.001,relu
11,0.6503317356109619,0.738391637802124,4,1e-05,0.001,0.0001,0.001,sigmoid
12,0.6475637555122375,0.7413924932479858,4,1e-05,0.001,0.0001,0.01,tanh
11,0.645224392414093,0.7460079789161682,4,1e-05,0.001,0.0001,0.01,relu
11,0.6430854201316833,0.7483484745025635,4,1e-05,0.001,0.0001,0.01,sigmoid
11,0.6410036683082581,0.7521019577980042,4,1e-05,0.001,0.001,0,tanh
11,0.6390545964241028,0.7556894421577454,4,1e-05,0.001,0.001,0,relu
11,0.6373259425163269,0.758129894733429,4,1e-05,0.001,0.001,0,sigmoid
12,0.6353777647018433,0.7631456851959229,4,1e-05,0.001,0.001,0.0001,tanh
