round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
41,0.6932318806648254,0.6931304931640625,20,[64, 64],0.01,0.1,0.01,0.01,relu
15,0.6931477785110474,0.6937387585639954,10,[64, 64],0.001,0.2,0,0.01,sigmoid
18,0.6931823492050171,0.6934301257133484,20,[64, 64],0.001,0.3,0.001,0,relu
13,0.6931256651878357,0.6936474442481995,15,[64, 64],0.01,0.3,0.0001,0,tanh
20,0.6930765509605408,0.6936431527137756,15,[64, 64],0.01,0.2,0.0001,0.01,tanh
17,0.6930614113807678,0.6941004395484924,20,[64, 64],0.01,0.3,0.001,0.0001,sigmoid
12,0.6929187178611755,0.694117546081543,15,[64, 64],0.001,0.1,0.001,0.001,sigmoid
12,0.6928526163101196,0.694699764251709,30,[64, 64],0.01,0.2,0.001,0.0001,relu
11,0.6926630735397339,0.695185124874115,15,[64, 64],1e-05,0.1,0,0.0001,relu
12,0.69240802526474,0.6956925392150879,25,[64, 64],0.001,0.3,0.01,0.0001,sigmoid
11,0.6920873522758484,0.6958736181259155,30,[64, 64],0.01,0.3,0.001,0.0001,relu
11,0.691708505153656,0.6968389749526978,15,[64, 64],0.1,0.3,0,0.0001,relu
16,0.6910195350646973,0.6982582211494446,30,[64, 64],0.001,0.1,0.0001,0,sigmoid
13,0.690312922000885,0.6993545293807983,10,[64, 64],0.0001,0.3,0.001,0.001,sigmoid
12,0.6896201968193054,0.7006452679634094,25,[64, 64],1e-05,0.2,0.0001,0.01,sigmoid
18,0.6885833740234375,0.7018830180168152,15,[64, 64],0.0001,0.3,0.0001,0,relu
15,0.6875832080841064,0.7030217051506042,15,[64, 64],1e-05,0.3,0,0.001,tanh
13,0.6867135167121887,0.7039523720741272,30,[64, 64],1e-05,0.1,0,0.01,tanh
11,0.6859597563743591,0.7045442461967468,10,[64, 64],0.001,0.3,0,0.001,sigmoid
17,0.6847769618034363,0.7071491479873657,25,[64, 64],0.0001,0.3,0.01,0.01,tanh
12,0.6839810013771057,0.7084798812866211,25,[64, 64],0.0001,0.2,0.0001,0.0001,relu
14,0.6828373670578003,0.7106919884681702,30,[64, 64],0.0001,0.2,0.0001,0.01,sigmoid
11,0.6820452809333801,0.7108548879623413,10,[64, 64],0.001,0.2,0,0,relu
11,0.6811475157737732,0.7119130492210388,25,[64, 64],0.01,0.3,0.01,0.001,tanh
19,0.6797096729278564,0.7126463055610657,10,[64, 64],1e-05,0.1,0.001,0,tanh
16,0.678454577922821,0.7148004174232483,15,[64, 64],0.0001,0.1,0.01,0.0001,relu
15,0.6770997047424316,0.7162418961524963,20,[64, 64],0.01,0.3,0.01,0.01,relu
20,0.6754945516586304,0.7190773487091064,30,[64, 64],0.1,0.2,0,0.0001,sigmoid
17,0.6741190552711487,0.71840900182724,25,[64, 64],0.01,0.1,0,0.0001,sigmoid
23,0.6721006035804749,0.7228732705116272,30,[64, 64],0.001,0.3,0,0,tanh
16,0.6708325743675232,0.72537761926651,20,[64, 64],0.01,0.2,0.001,0,tanh
13,0.6696179509162903,0.7247458100318909,15,[64, 64],0.0001,0.1,0.001,0.01,sigmoid
11,0.6686763763427734,0.7253454923629761,25,[64, 64],0.1,0.3,0.01,0,tanh
15,0.667418897151947,0.7285102009773254,25,[64, 64],1e-05,0.3,0.001,0.001,sigmoid
13,0.6662603616714478,0.7298447489738464,15,[64, 64],0.1,0.2,0,0.01,tanh
12,0.665273129940033,0.7315717339515686,30,[64, 64],0.01,0.1,0.0001,0.0001,tanh
