round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
25,0.0802544429898262,0.09164651483297348,20,[64, 64],0.001,0.1,0.001,0,tanh
16,0.07840075343847275,0.0934799462556839,30,[64, 64],0.0005,0.1,0.01,0.001,sigmoid
16,0.07748313248157501,0.09496534615755081,30,[64, 64],0.0001,0.2,0.01,0.0001,tanh
16,0.07709166407585144,0.09630114585161209,100,[64, 64],1e-05,0.1,0.0001,0,sigmoid
16,0.07682741433382034,0.09740253537893295,30,[64, 64],0.0005,0.1,0.0001,0,relu
19,0.07668114453554153,0.09837336838245392,20,[64, 64],0.001,0.3,0.0001,0.0001,sigmoid
17,0.07659610360860825,0.09885319322347641,20,[64, 64],1e-05,0.1,0.0001,0.01,sigmoid
17,0.07655122876167297,0.09936834871768951,100,[64, 64],0.0001,0.1,0.01,0.001,relu
18,0.07654707878828049,0.09958871454000473,50,[64, 64],0.0005,0.1,0.01,0.0001,tanh
17,0.07653041929006577,0.09989184141159058,100,[64, 64],0.0001,0.3,0.01,0.01,tanh
17,0.07653100788593292,0.10003425925970078,100,[64, 64],0.0001,0.3,0.001,0.0001,tanh
19,0.07651970535516739,0.10022300481796265,30,[64, 64],0.0001,0.2,0.0001,0.01,relu
20,0.07659132033586502,0.1002948135137558,100,[64, 64],0.0005,0.3,0.001,0.001,relu
20,0.07650987803936005,0.10046457499265671,100,[64, 64],0.001,0.1,0.001,0,sigmoid
17,0.07656017690896988,0.10053900629281998,50,[64, 64],1e-05,0.1,0.001,0.001,tanh
30,0.07651524245738983,0.10046404600143433,50,[64, 64],0.001,0.1,0.001,0.0001,tanh
17,0.07654421776533127,0.10042960196733475,50,[64, 64],0.001,0.3,0.0001,0.001,relu
41,0.07652109116315842,0.10044196248054504,30,[64, 64],0.001,0.2,0,0.01,relu
16,0.07652603834867477,0.10045135766267776,100,[64, 64],0.0005,0.2,0.0001,0.001,relu
17,0.07651600986719131,0.10052112489938736,30,[64, 64],0.001,0.3,0.001,0.0001,sigmoid
29,0.07650026679039001,0.10046430677175522,30,[64, 64],1e-05,0.1,0.001,0,tanh
20,0.07651994377374649,0.10034096986055374,100,[64, 64],0.001,0.2,0,0,sigmoid
39,0.07651132345199585,0.10036034137010574,100,[64, 64],0.0001,0.2,0.001,0.001,sigmoid
