round_epochs,loss,val_loss,lr,first_neuron,batch_size,epochs,dropout,loss,last_activation,weight_regulizer
27,0.6596128344535828,0.7170042991638184,0.1,4,2,200,0.0,categorical_crossentropy,softmax,None
11,0.6459856629371643,0.7257755994796753,0.1,4,2,200,0.04,categorical_crossentropy,softmax,None
11,0.6343554854393005,0.7366556525230408,0.1,4,2,200,0.08,categorical_crossentropy,softmax,None
11,0.6259240508079529,0.7515711784362793,0.1,4,2,200,0.12,categorical_crossentropy,softmax,None
11,0.6199007630348206,0.7680057883262634,0.1,4,2,200,0.16,categorical_crossentropy,softmax,None
11,0.615833580493927,0.7830093502998352,0.1,4,2,200,0.2,categorical_crossentropy,softmax,None
11,0.6134318709373474,0.7966718077659607,0.1,4,2,200,0.24,categorical_crossentropy,softmax,None
11,0.6118844151496887,0.8086197376251221,0.1,4,2,200,0.28,categorical_crossentropy,softmax,None
11,0.6106065511703491,0.8188570737838745,0.1,4,2,200,0.32,categorical_crossentropy,softmax,None
11,0.6099744439125061,0.8264859318733215,0.1,4,2,200,0.36,categorical_crossentropy,softmax,None
11,0.6091765761375427,0.836331844329834,0.1,4,3,200,0.0,categorical_crossentropy,softmax,None
11,0.6087341904640198,0.8443567156791687,0.1,4,3,200,0.04,categorical_crossentropy,softmax,None
11,0.6084058284759521,0.8497428297996521,0.1,4,3,200,0.08,categorical_crossentropy,softmax,None
12,0.6082162261009216,0.8576553463935852,0.1,4,3,200,0.12,categorical_crossentropy,softmax,None
11,0.607795774936676,0.8641756176948547,0.1,4,3,200,0.16,categorical_crossentropy,softmax,None
11,0.6078405976295471,0.8686205744743347,0.1,4,3,200,0.2,categorical_crossentropy,softmax,None
13,0.6076006293296814,0.8757324814796448,0.1,4,3,200,0.24,categorical_crossentropy,softmax,None
11,0.6072949171066284,0.8803994059562683,0.1,4,3,200,0.28,categorical_crossentropy,softmax,None
11,0.6074615120887756,0.8872969746589661,0.1,4,3,200,0.32,categorical_crossentropy,softmax,None
11,0.6070802807807922,0.8918378949165344,0.1,4,3,200,0.36,categorical_crossentropy,softmax,None
12,0.6071928143501282,0.8987551927566528,0.1,4,4,200,0.0,categorical_crossentropy,softmax,None
11,0.607097327709198,0.9049481153488159,0.1,4,4,200,0.04,categorical_crossentropy,softmax,None
11,0.6070404648780823,0.9097375869750977,0.1,4,4,200,0.08,categorical_crossentropy,softmax,None
11,0.6069276928901672,0.9152544736862183,0.1,4,4,200,0.12,categorical_crossentropy,softmax,None
11,0.6071521043777466,0.9206253290176392,0.1,4,4,200,0.16,categorical_crossentropy,softmax,None
11,0.6067980527877808,0.9259968400001526,0.1,4,4,200,0.2,categorical_crossentropy,softmax,None
11,0.6067218780517578,0.9308136701583862,0.1,4,4,200,0.24,categorical_crossentropy,softmax,None
11,0.6069205403327942,0.9364339113235474,0.1,4,4,200,0.28,categorical_crossentropy,softmax,None
13,0.6067047119140625,0.9419608116149902,0.1,4,4,200,0.32,categorical_crossentropy,softmax,None
11,0.6067685484886169,0.9476335644721985,0.1,4,4,200,0.36,categorical_crossentropy,softmax,None
12,0.6068040132522583,0.9536689519882202,0.1,8,2,200,0.0,categorical_crossentropy,softmax,None
11,0.6068261861801147,0.9585879445075989,0.1,8,2,200,0.04,categorical_crossentropy,softmax,None
11,0.6067386865615845,0.9643546342849731,0.1,8,2,200,0.08,categorical_crossentropy,softmax,None
11,0.6066305041313171,0.9690734148025513,0.1,8,2,200,0.12,categorical_crossentropy,softmax,None
11,0.6067436337471008,0.9744083881378174,0.1,8,2,200,0.16,categorical_crossentropy,softmax,None
