round_epochs,loss,val_loss,k,lstm_dim,dnn_dim,lr,dropout,l1,l2,activation_function
18,0.3180988132953644,1.3292292356491089,20,[64],[64, 64],0.01,0.3,0.0001,0,tanh
147,0.6211115121841431,0.7880112528800964,50,[64],[64, 64],0.0001,0.2,0.001,0.0001,relu
300,0.7919183969497681,0.7977861762046814,30,[64],[64, 64],1e-05,0.2,0.0001,0.0001,sigmoid
42,0.5611346364021301,0.8115977048873901,50,[64],[64, 64],0.0005,0.1,0.001,0.001,tanh
38,0.678729772567749,0.6965917348861694,20,[64],[64, 64],0.0001,0.1,0,0,relu
24,0.3789992034435272,1.7481869459152222,20,[64],[64, 64],0.01,0.1,0.001,0.01,sigmoid
42,0.5663585066795349,0.8569875955581665,100,[64],[64, 64],0.0005,0.1,0.01,0,sigmoid
300,0.7751650810241699,0.7979819774627686,50,[64],[64, 64],1e-05,0.2,0.0001,0.0001,tanh
181,0.6246339082717896,0.7899923324584961,50,[64],[64, 64],0.0001,0.1,0.0001,0.01,relu
17,0.33312365412712097,1.207603931427002,20,[64],[64, 64],0.01,0.1,0,0,sigmoid
18,0.27621009945869446,1.5631860494613647,30,[64],[64, 64],0.01,0.3,0.001,0,tanh
27,0.5454195737838745,1.7716724872589111,20,[64],[64, 64],0.01,0.3,0.01,0.01,sigmoid
41,0.6372195482254028,0.7597636580467224,50,[64],[64, 64],0.0005,0.3,0.0001,0.001,relu
42,0.5975409150123596,0.8266748189926147,50,[64],[64, 64],0.0005,0.3,0.01,0.0001,sigmoid
18,0.28166109323501587,1.311617374420166,50,[64],[64, 64],0.01,0.3,0,0.001,relu
150,0.6381317973136902,0.7615193724632263,20,[64],[64, 64],0.0001,0.3,0.01,0,relu
33,0.5746291875839233,0.8374353647232056,30,[64],[64, 64],0.001,0.1,0.001,0.01,relu
132,0.6382399201393127,0.7545887231826782,50,[64],[64, 64],0.0001,0.3,0.0001,0.001,tanh
80,1.0773534774780273,1.5790634155273438,50,[64],[64, 64],0.0005,0.1,0.01,0.01,sigmoid
41,0.5184063911437988,0.8588763475418091,100,[64],[64, 64],0.0005,0.1,0.001,0.0001,tanh
42,0.4947388470172882,0.8770174980163574,100,[64],[64, 64],0.0005,0.2,0.01,0,sigmoid
34,0.6236808896064758,0.7717203497886658,30,[64],[64, 64],0.001,0.2,0.0001,0.01,tanh
300,12.783197402954102,12.81229019165039,100,[64],[64, 64],1e-05,0.1,0.01,0.0001,sigmoid
300,1.261958122253418,1.5273886919021606,50,[64],[64, 64],0.0001,0.3,0.01,0.01,sigmoid
43,0.665567934513092,0.704831063747406,30,[64],[64, 64],0.0001,0.2,0,0,sigmoid
16,0.24916985630989075,1.3437776565551758,100,[64],[64, 64],0.01,0.3,0,0.0001,tanh
160,0.6876450777053833,0.6943775415420532,100,[64],[64, 64],1e-05,0.2,0,0,tanh
28,0.5434862375259399,0.8556491136550903,100,[64],[64, 64],0.001,0.2,0.001,0.0001,relu
