k,hit,std,model
1,0.6038935691704593,0.11155446441564976,1d
1,0.753490071812882,0.027262039834911864,2d
1,0.7448693821577095,0.03638140320029092,deepfm
2,0.7894170582652297,0.06081900717950618,1d
2,0.8095913106643139,0.026978741043702407,2d
2,0.8157328477389139,0.029986419590526846,deepfm
3,0.8562962073254742,0.02057719695913864,1d
3,0.855901796687656,0.029919907127689143,2d
3,0.8648792769067674,0.028810530324425532,deepfm
5,0.9093183325639655,0.027246094227479936,1d
5,0.9238222617399954,0.03357208793114595,2d
5,0.9269669158280457,0.03436524172462577,deepfm
10,0.9714637507782932,0.024742243554635574,1d
10,0.9774819680847342,0.022219678650192965,2d
10,0.9744230136909634,0.02525115201074718,deepfm
15,0.9831294030404153,0.01960243216594186,1d
15,0.9917500926955877,0.012446432311185638,2d
15,0.9944382647385984,0.007872033276070507,deepfm
20,0.9886911383018169,0.012774514777124362,1d
20,0.9944382647385984,0.007872033276070507,2d
20,0.9944382647385984,0.007872033276070507,deepfm
30,0.9971264367816092,0.006425482693964926,1d
30,0.9971264367816092,0.006425482693964926,2d
30,1.0,0.0,deepfm
