k,hit,std,model
1,0.19240280774586763,0.10322109496980525,1d
1,0.1423512081586643,0.09490967103393243,2d
1,0.23477779688833492,0.13044352105166343,deepfm
2,0.31268461641086853,0.043465895821860806,1d
2,0.2040479055100126,0.08596244344184424,2d
2,0.33820444793127286,0.13629572385630345,deepfm
3,0.3837269357252618,0.10181566182194782,1d
3,0.31162695500836984,0.08715397495661328,2d
3,0.4058065655398362,0.11869671809186422,deepfm
5,0.4926238826704494,0.06571214770671854,1d
5,0.46001354893016294,0.07061665571782788,2d
5,0.5098423610789383,0.09817030690689829,deepfm
10,0.5937296749532482,0.05054439975934411,1d
10,0.5888155327229521,0.048102653097838316,2d
10,0.5942848214764599,0.06214379167362133,deepfm
15,0.6175702086817246,0.05312113491444092,1d
15,0.6424760621139746,0.02805366498321979,2d
15,0.658453733272604,0.03770747133257734,deepfm
20,0.6532373345143614,0.04557249835177689,1d
20,0.6904809675997795,0.03396563220789924,2d
20,0.6945269277604841,0.042849158257083166,deepfm
30,0.7071421696723054,0.05104038978410681,1d
30,0.7230162326602829,0.03230439171283437,2d
30,0.7322143903592574,0.02479002709899699,deepfm
