algorithm,threshold,k,f1,std
deepfm,0.0,10.0,0.200221779323103,0.0163772943129765
deepfm,0.1,10.0,0.20128905178371045,0.016287626362731972
deepfm,0.2,10.0,0.20322333726336103,0.01563362153952153
deepfm,0.30000000000000004,10.0,0.20469439743698362,0.015931859829489865
deepfm,0.4,10.0,0.20625734552011735,0.016372572740100528
deepfm,0.5,10.0,0.20727112236811104,0.016863527836318774
deepfm,0.6000000000000001,10.0,0.20745506487675783,0.018063141285212875
deepfm,0.7000000000000001,10.0,0.20803848096231467,0.018947365381607597
deepfm,0.8,10.0,0.20855994521190013,0.019886320984933474
deepfm,0.9,10.0,0.20822393272862494,0.019343355371995708
