start,end,duration,round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
06/10/22-094145,06/10/22-094209,24.378181219100952,170,0.24671104550361633,0.25055935978889465,30,"[64, 64]",1e-05,0.1,0.0,0.01,sigmoid
06/10/22-094210,06/10/22-094243,32.78879642486572,83,0.2297714352607727,0.25925949215888977,100,"[64, 64]",0.0001,0.3,0.01,0.01,tanh
06/10/22-094243,06/10/22-094447,124.44758486747742,300,0.23480944335460663,0.26002058386802673,100,"[64, 64]",1e-05,0.2,0.0001,0.0001,tanh
06/10/22-094448,06/10/22-094522,34.34008312225342,103,0.22753272950649261,0.2656323313713074,50,"[64, 64]",0.0001,0.2,0.01,0.001,relu
06/10/22-094523,06/10/22-094530,7.778261184692383,17,0.2266484946012497,0.26457566022872925,20,"[64, 64]",0.0005,0.3,0.001,0.001,relu
06/10/22-094531,06/10/22-094540,9.451996088027954,21,0.2232501059770584,0.26780810952186584,30,"[64, 64]",0.0005,0.1,0.0001,0.001,relu
06/10/22-094541,06/10/22-094706,85.82645750045776,250,0.24813582003116608,0.2500787377357483,50,"[64, 64]",1e-05,0.1,0.0001,0.0,tanh
06/10/22-094714,06/10/22-094727,12.644951820373535,35,0.22660675644874573,0.26314449310302734,20,"[64, 64]",0.0005,0.1,0.0001,0.0001,tanh
06/10/22-094728,06/10/22-094736,8.871523380279541,20,0.21889977157115936,0.2723104655742645,20,"[64, 64]",0.001,0.3,0.01,0.0001,tanh
06/10/22-094737,06/10/22-094747,10.546494483947754,20,0.196300208568573,0.2752102017402649,100,"[64, 64]",0.001,0.2,0.0,0.0,relu
06/10/22-094748,06/10/22-094755,7.399155378341675,18,0.2171030193567276,0.2689206004142761,30,"[64, 64]",0.001,0.2,0.001,0.0,sigmoid
06/10/22-094755,06/10/22-094832,36.995452642440796,166,0.24490565061569214,0.2514001429080963,20,"[64, 64]",1e-05,0.1,0.001,0.01,relu
06/10/22-094833,06/10/22-094902,28.789427042007446,69,0.2429579645395279,0.2516646981239319,100,"[64, 64]",1e-05,0.1,0.0001,0.01,relu
06/10/22-094902,06/10/22-095015,72.91051602363586,300,0.25681188702583313,0.2707586884498596,30,"[64, 64]",1e-05,0.3,0.001,0.0001,tanh
06/10/22-095015,06/10/22-095024,8.510038614273071,16,0.20367538928985596,0.27725133299827576,50,"[64, 64]",0.001,0.2,0.01,0.0001,sigmoid
06/10/22-095024,06/10/22-095037,13.135597705841064,24,0.22529658675193787,0.26400667428970337,100,"[64, 64]",0.0005,0.2,0.001,0.0001,sigmoid
06/10/22-095038,06/10/22-095049,10.725859880447388,18,0.19918878376483917,0.2751794755458832,100,"[64, 64]",0.001,0.3,0.01,0.001,tanh
06/10/22-095049,06/10/22-095056,7.518966436386108,16,0.22654074430465698,0.2628311216831207,30,"[64, 64]",0.0005,0.3,0.001,0.001,relu
06/10/22-095057,06/10/22-095107,10.325521469116211,23,0.24151310324668884,0.25119858980178833,50,"[64, 64]",0.0001,0.2,0.001,0.001,relu
06/10/22-095107,06/10/22-095117,9.504247188568115,28,0.2252272665500641,0.2660045623779297,20,"[64, 64]",0.0005,0.2,0.001,0.01,tanh
06/10/22-095117,06/10/22-095125,7.9202399253845215,16,0.21562305092811584,0.27654898166656494,30,"[64, 64]",0.001,0.3,0.01,0.0,tanh
06/10/22-095126,06/10/22-095133,6.889999151229858,16,0.22494225203990936,0.27226245403289795,20,"[64, 64]",0.001,0.1,0.001,0.0,relu
06/10/22-095133,06/10/22-095244,71.45614075660706,300,0.2456115037202835,0.25168952345848083,30,"[64, 64]",1e-05,0.2,0.01,0.001,sigmoid
