,start,end,duration,round_epochs,loss,val_loss,k,dnn_dim,lr,dropout,l1,l2,activation_function
0,06/06/22-003231,06/06/22-003236,4.7270119190216064,41,0.6932318806648254,0.6931304931640625,20,"[64, 64]",0.01,0.1,0.01,0.01,relu
1,06/06/22-003236,06/06/22-003238,1.7531459331512451,15,0.6931477785110474,0.6937387585639954,10,"[64, 64]",0.001,0.2,0.0,0.01,sigmoid
2,06/06/22-003239,06/06/22-003242,3.3374545574188232,18,0.6931823492050171,0.6934301257133484,20,"[64, 64]",0.001,0.3,0.001,0.0,relu
3,06/06/22-003242,06/06/22-003244,1.4556105136871338,13,0.6931256651878357,0.6936474442481995,15,"[64, 64]",0.01,0.3,0.0001,0.0,tanh
4,06/06/22-003244,06/06/22-003248,3.4877355098724365,20,0.6930765509605408,0.6936431527137756,15,"[64, 64]",0.01,0.2,0.0001,0.01,tanh
5,06/06/22-003248,06/06/22-003250,2.3674545288085938,17,0.6930614113807678,0.6941004395484924,20,"[64, 64]",0.01,0.3,0.001,0.0001,sigmoid
6,06/06/22-003251,06/06/22-003254,2.6532907485961914,12,0.6929187178611755,0.694117546081543,15,"[64, 64]",0.001,0.1,0.001,0.001,sigmoid
7,06/06/22-003254,06/06/22-003256,2.2735936641693115,12,0.6928526163101196,0.694699764251709,30,"[64, 64]",0.01,0.2,0.001,0.0001,relu
8,06/06/22-003257,06/06/22-003259,2.3636512756347656,11,0.6926630735397339,0.695185124874115,15,"[64, 64]",1e-05,0.1,0.0,0.0001,relu
9,06/06/22-003300,06/06/22-003302,2.1844260692596436,12,0.69240802526474,0.6956925392150879,25,"[64, 64]",0.001,0.3,0.01,0.0001,sigmoid
10,06/06/22-003302,06/06/22-003305,2.436580181121826,11,0.6920873522758484,0.6958736181259155,30,"[64, 64]",0.01,0.3,0.001,0.0001,relu
11,06/06/22-003305,06/06/22-003307,1.6790075302124023,11,0.691708505153656,0.6968389749526978,15,"[64, 64]",0.1,0.3,0.0,0.0001,relu
12,06/06/22-003308,06/06/22-003311,3.0993635654449463,16,0.6910195350646973,0.6982582211494446,30,"[64, 64]",0.001,0.1,0.0001,0.0,sigmoid
13,06/06/22-003311,06/06/22-003313,2.038726329803467,13,0.690312922000885,0.6993545293807983,10,"[64, 64]",0.0001,0.3,0.001,0.001,sigmoid
14,06/06/22-003314,06/06/22-003316,2.5579535961151123,12,0.6896201968193054,0.7006452679634094,25,"[64, 64]",1e-05,0.2,0.0001,0.01,sigmoid
15,06/06/22-003317,06/06/22-003319,2.50091814994812,18,0.6885833740234375,0.7018830180168152,15,"[64, 64]",0.0001,0.3,0.0001,0.0,relu
16,06/06/22-003320,06/06/22-003322,2.8085877895355225,15,0.6875832080841064,0.7030217051506042,15,"[64, 64]",1e-05,0.3,0.0,0.001,tanh
17,06/06/22-003323,06/06/22-003325,2.292651653289795,13,0.6867135167121887,0.7039523720741272,30,"[64, 64]",1e-05,0.1,0.0,0.01,tanh
18,06/06/22-003326,06/06/22-003328,2.1313836574554443,11,0.6859597563743591,0.7045442461967468,10,"[64, 64]",0.001,0.3,0.0,0.001,sigmoid
19,06/06/22-003328,06/06/22-003330,2.2380378246307373,17,0.6847769618034363,0.7071491479873657,25,"[64, 64]",0.0001,0.3,0.01,0.01,tanh
20,06/06/22-003331,06/06/22-003333,2.5284149646759033,12,0.6839810013771057,0.7084798812866211,25,"[64, 64]",0.0001,0.2,0.0001,0.0001,relu
21,06/06/22-003334,06/06/22-003335,1.6165454387664795,14,0.6828373670578003,0.7106919884681702,30,"[64, 64]",0.0001,0.2,0.0001,0.01,sigmoid
22,06/06/22-003336,06/06/22-003339,2.8365049362182617,11,0.6820452809333801,0.7108548879623413,10,"[64, 64]",0.001,0.2,0.0,0.0,relu
23,06/06/22-003339,06/06/22-003340,1.3234684467315674,11,0.6811475157737732,0.7119130492210388,25,"[64, 64]",0.01,0.3,0.01,0.001,tanh
24,06/06/22-003341,06/06/22-003344,3.742649793624878,19,0.6797096729278564,0.7126463055610657,10,"[64, 64]",1e-05,0.1,0.001,0.0,tanh
25,06/06/22-003345,06/06/22-003346,1.6573896408081055,16,0.678454577922821,0.7148004174232483,15,"[64, 64]",0.0001,0.1,0.01,0.0001,relu
26,06/06/22-003347,06/06/22-003350,3.442955732345581,15,0.6770997047424316,0.7162418961524963,20,"[64, 64]",0.01,0.3,0.01,0.01,relu
