k,hit,std,model
1,0.027416887807754683,0.0131408487488417,1d
1,0.027072890559732665,0.019591771156565883,2d
1,0.0331296992481203,0.029737677284388118,deepfm
2,0.07684652808491818,0.01529234995101324,1d
2,0.039421470342522975,0.018942123401410146,2d
2,0.05782685881370092,0.04057838132510213,deepfm
3,0.09776278932625682,0.02387961363745359,1d
3,0.05151358789129687,0.017631856865785528,2d
3,0.09167526659786722,0.025323877036879366,deepfm
5,0.15512433043392795,0.038943901871870835,1d
5,0.10347560076662245,0.03986425928870759,2d
5,0.14912434271954395,0.032024580452181435,deepfm
10,0.2538668976362474,0.03490363843950594,1d
10,0.201390424590889,0.04902250069415351,2d
10,0.25071563713204575,0.045929477294198634,deepfm
15,0.31212528871197603,0.045533892884982836,1d
15,0.26062398643667994,0.04743485138052569,2d
15,0.2944892869428474,0.03629891450756315,deepfm
20,0.3518738635805199,0.046719992500683274,1d
20,0.29438485920684065,0.04314618796013656,2d
20,0.33096988795518206,0.03205132519633909,deepfm
30,0.4034150941078185,0.05296136702070734,1d
30,0.377219089390142,0.030256900321976865,2d
30,0.3993193768735564,0.030688443926897915,deepfm
