k,hit,std,model
1,0.17642221889047385,0.12729675062940563,1d
1,0.15941334085726605,0.06707488011320534,2d
1,0.16702982406061903,0.06326476679388661,deepfm
1,0.07911715906473442,0.08363917326973148,lstmfm
2,0.30371741221367077,0.14646524196343166,1d
2,0.2542715394602199,0.09403468505259724,2d
2,0.2696449602431819,0.11294264784367306,deepfm
2,0.17619475614233152,0.1691523152633574,lstmfm
3,0.3232152807211342,0.15502727959775658,1d
3,0.37980158615774323,0.06586926248706297,2d
3,0.3770321273001021,0.0921200152385308,deepfm
3,0.2124592209782249,0.20435992520953486,lstmfm
5,0.4363463149304628,0.19475901973089957,1d
5,0.4973021542033689,0.04909069540703243,2d
5,0.5340235064205088,0.06622864946464631,deepfm
5,0.25685081766145307,0.2280164731737191,lstmfm
10,0.5234052414224653,0.22842389345800496,1d
10,0.6419583161191779,0.026103977708890048,2d
10,0.6764809320317077,0.046325005172849903,deepfm
10,0.3367335040995087,0.24151753759106606,lstmfm
15,0.5560727839812656,0.23628553407667008,1d
15,0.706077502511393,0.03762411966675591,2d
15,0.7242771784660937,0.04932265811491995,deepfm
15,0.38168818797948756,0.27189796707311875,lstmfm
20,0.5830427864171268,0.23863809960188898,1d
20,0.7402951960704757,0.025524207961904438,2d
20,0.7628724952422864,0.055366702428946354,deepfm
20,0.4002582422638275,0.2924414518347101,lstmfm
30,0.6300690972847227,0.24790643088243075,1d
30,0.8011858585426915,0.012004497105821382,2d
30,0.8228835634969772,0.03491575482617947,deepfm
30,0.4407120305534957,0.29700745633490944,lstmfm
