k,hit,std,model
1,0.14534217466978464,0.018927406531085003,1d
1,0.27018423010254383,0.09094135706142449,2d
1,0.25042380754076304,0.10566717723369072,deepfm
2,0.31393478624538623,0.08032556553079329,1d
2,0.37173861820304466,0.12060369626904227,2d
2,0.3717386182030446,0.12682344661258815,deepfm
3,0.4653813627190313,0.07489780643628415,1d
3,0.46306474748445464,0.07165304792850417,2d
3,0.43943713005378116,0.10462870367792072,deepfm
5,0.5634966346684321,0.08352636378024318,1d
5,0.5901255014183867,0.08863106169701512,2d
5,0.565505618377451,0.1374203624635344,deepfm
10,0.6604346278559047,0.07225214731989546,1d
10,0.6714213765291702,0.08909633750605674,2d
10,0.6839982488174178,0.0897684675072732,deepfm
15,0.6873501973639718,0.07008277233044395,1d
15,0.7055072200688371,0.07007920420108742,2d
15,0.7142791498933985,0.0615926135539747,deepfm
20,0.7353316390997783,0.05453049573562226,1d
20,0.7543713717240962,0.04259623843695438,2d
20,0.7477047050574295,0.037792592407172955,deepfm
30,0.7925263656198723,0.04106375975730748,1d
30,0.7927150448651553,0.035968283334612265,2d
30,0.804837179172317,0.028651160177176806,deepfm
