algorithm,threshold,k,f1,std
deepfm,0.0,10.0,0.46370299241358465,0.009011238189166658
deepfm,0.1,10.0,0.5872330164266865,0.03345042809722068
deepfm,0.2,10.0,0.606270589123182,0.03562477382014342
deepfm,0.30000000000000004,10.0,0.6226719232081066,0.03710539262125947
deepfm,0.4,10.0,0.6302083953708609,0.03988101888908555
deepfm,0.5,10.0,0.6389922040213122,0.03976270094187638
deepfm,0.6000000000000001,10.0,0.638539770782585,0.03360300723297782
deepfm,0.7000000000000001,10.0,0.636406900464081,0.030142100506627544
deepfm,0.8,10.0,0.6362169495907093,0.02558047016050476
deepfm,0.9,10.0,0.6218884121284226,0.019355003123527774
