algorithm,threshold,k,f1,std
deepfm,0.0,50.0,0.21673398574301905,0.012847946795787222
deepfm,0.01,50.0,0.22592729136917877,0.012690056470060655
deepfm,0.02,50.0,0.2273769996617974,0.012397542285191604
deepfm,0.03,50.0,0.22843235340403623,0.012257059951052892
deepfm,0.04,50.0,0.22943694493602393,0.01220954069604716
deepfm,0.05,50.0,0.23050088648068814,0.012114545866954637
deepfm,0.06,50.0,0.23136212876630483,0.0120715504125018
deepfm,0.07,50.0,0.23210811098148354,0.012049684168257361
deepfm,0.08,50.0,0.23289089694049245,0.012021430527234336
deepfm,0.09,50.0,0.23359854075122008,0.012014816383831319
deepfm,0.1,50.0,0.23423205809977043,0.011964916513731057
deepfm,0.11,50.0,0.23487116918389506,0.01187111684075285
deepfm,0.12,50.0,0.23551627322090993,0.011910075319197784
deepfm,0.13,50.0,0.23616125210952096,0.011964160464843278
deepfm,0.14,50.0,0.23676382190783773,0.012055322901468251
deepfm,0.15,50.0,0.23733442669373014,0.012224153060598493
deepfm,0.16,50.0,0.23780597332135556,0.012340124063072038
deepfm,0.17,50.0,0.2383470176751501,0.01232103614820286
deepfm,0.18,50.0,0.2388877524211039,0.012396148852151945
deepfm,0.19,50.0,0.23932717991768027,0.012384312545084297
deepfm,0.2,50.0,0.23991291266553982,0.01245601984234284
deepfm,0.21,50.0,0.24050102336841714,0.01247497019043115
deepfm,0.22,50.0,0.2409961067949521,0.012399092342942817
deepfm,0.23,50.0,0.24146101630089,0.012497482197780895
deepfm,0.24,50.0,0.24203917746701809,0.012498304433381862
deepfm,0.25,50.0,0.24254095278919885,0.01235884563637879
deepfm,0.26,50.0,0.243009318994481,0.012444040456517685
deepfm,0.27,50.0,0.2435355912864768,0.01250512323644336
deepfm,0.28,50.0,0.24402176531651976,0.01246693693174249
deepfm,0.29,50.0,0.24452031443804131,0.01248641128293544
deepfm,0.3,50.0,0.24507575915824334,0.01261270363083559
deepfm,0.31,50.0,0.2456518512496861,0.01267398685138268
deepfm,0.32,50.0,0.2461630931152364,0.012618546717091169
deepfm,0.33,50.0,0.24666119219268304,0.01263642913495464
deepfm,0.34,50.0,0.2471005178964586,0.012765844325238364
deepfm,0.35000000000000003,50.0,0.24760882764452705,0.012792323400537622
deepfm,0.36,50.0,0.24811311333628586,0.012937968930267283
deepfm,0.37,50.0,0.24857730994306518,0.01297014461844497
deepfm,0.38,50.0,0.24903637802028858,0.013015503528502826
deepfm,0.39,50.0,0.24947754760104598,0.013068889100091383
deepfm,0.4,50.0,0.24996305418825168,0.013074081667521463
deepfm,0.41000000000000003,50.0,0.25039597760771776,0.013153218879564084
deepfm,0.42,50.0,0.25083363625829413,0.013166045152658052
deepfm,0.43,50.0,0.2513236881603421,0.013175717297992776
deepfm,0.44,50.0,0.25181839271739054,0.013240116566377556
deepfm,0.45,50.0,0.25229735202307796,0.013285475523275301
deepfm,0.46,50.0,0.2527176645388272,0.013352319130855108
deepfm,0.47000000000000003,50.0,0.2532286082900502,0.01332811229649414
deepfm,0.48,50.0,0.25375805647774236,0.013361779725031503
deepfm,0.49,50.0,0.25420409561641644,0.0133818558708275
deepfm,0.5,50.0,0.2548019105754846,0.01341582028016997
deepfm,0.51,50.0,0.2553647249296869,0.013445372878638204
deepfm,0.52,50.0,0.25577227027571836,0.013578359012119057
deepfm,0.53,50.0,0.25628744946843907,0.013635561174825606
deepfm,0.54,50.0,0.2569293831527067,0.013678587765723905
deepfm,0.55,50.0,0.2575334764608443,0.013777032686389981
deepfm,0.56,50.0,0.25813354312546194,0.013927206405618004
